utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,BE_load_actual_entsoe_transparency,BE_load_forecast_entsoe_transparency,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_generation_actual,DE_wind_generation_actual,DE_wind_offshore_generation_actual,DE_wind_onshore_generation_actual,HU_load_actual_entsoe_transparency,HU_load_forecast_entsoe_transparency,HU_wind_onshore_generation_actual,LU_load_actual_entsoe_transparency,LU_load_forecast_entsoe_transparency,NL_load_actual_entsoe_transparency,NL_load_forecast_entsoe_transparency,NL_solar_generation_actual,NL_wind_generation_actual,NL_wind_offshore_generation_actual,NL_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,6177.6,6184,32.74,0,512,9210.8,9177.35,47907.6,47714.97,0,9373.705,1659.1,7487.155,4380.15,4236,56.66,456.02,459,11055,11544.39,0,771.01,275.44,461.745
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,6177.6,6184,32.74,0,512,9210.8,9177.35,47907.6,47714.97,0,9373.705,1659.1,7487.155,4380.15,4236,56.66,456.02,459,11055,11544.39,0,771.01,275.44,461.745
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,7218.4,7528.69,62.82,35.89,172.32,9087.09,10027.32,47875.57,50178.22,4123.22,11766.61,527.88,11238.73,4308.29,4087.98,56.66,357,328,11937.82,14153.04,309,1666.78,166.68,1500.1
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,5650.8,6564,48.4,0,106.8,9689.14,9729.72,42967.41,41215.29,0,22508.11,391.39,22116.72,3839.59,3685.56,8.33,402,364,9253.15,10017.55,0,2507.24,250.72,2256.52
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,5240.8,6441.12,36,0,82.33,9204.77,8993.62,41222.93,39256.89,0,23111.8,267.7,22844.1,3692.01,3523.68,7.63,373,346,8517.17,9196.94,0,2495.67,249.57,2246.1
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,6295.6,8125.44,62.92,56.76,394.06,10895.54,10631.73,59389.65,55954.89,1654.74,25731.46,431.84,25299.62,4925.33,4502.49,8.82,502,464,13944.75,14243.31,81,2375.21,237.52,2137.69
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,5529.2,6636.29,28.02,0,1415.1,10060.02,9481.19,41841.99,42775.99,0,24255.71,503.32,23752.39,4059.22,3800.3,182.85,453,403,10940.43,9990.54,0,1774.39,177.44,1596.95
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,5927.6,6412.2,17,0,1386.15,9534.81,9688.55,38952.48,41624.97,0,23597.91,512.82,23085.09,3875.51,3598.4,247.57,417,376,10587.37,9146.87,0,1655.9,165.59,1490.31
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,5338.4,7419.38,24.28,64.26,608.07,11133.28,10846.56,51814.15,52893.1,1725.36,22915.94,380.44,22535.5,4815.06,4699.38,158.39,475,460,14788.42,13195.6,17,984.8,98.48,886.32
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,5451.6,6164.89,40.14,0,43.88,10208.47,10280.91,43705.69,42918.46,0,17812.19,513.92,17298.27,4063.16,3838.83,4.06,434,400,11132.9,9836.76,0,771.01,275.44,1625.58
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,5297.6,6064.64,31.55,0,86.16,9643.33,9250.34,38991.41,39474.46,0,18453.53,513.48,17940.05,3910.51,3646.74,1.87,410,381,10753.88,9070.65,0,771.01,275.44,1414.11
2015-01-04T11:00:00Z,2015-01-04T12:00:00+0100,5615.6,7175.74,28.83,44.88,1909.01,10613.47,10369.02,51055.07,48666.31,4578.48,16948.62,481.87,16466.75,4844.06,4560.22,298.59,418,420,13503.58,11878.74,246,771.01,275.44,777.02
2015-01-04T23:00:00Z,2015-01-05T00:00:00+0100,6216.4,6749.77,36.26,0,1379.6,10248.42,9747.09,43606.97,43814.77,0,12366.1,470.73,11895.37,4045.56,3692.11,257.1,449,438,11608.03,9565.73,0,771.01,275.44,914.31
2015-01-05T00:00:00Z,2015-01-05T01:00:00+0100,6106,6652.24,35,0,1568.65,9844.29,9560.03,41334.99,42131.39,0,12291.03,469.4,11821.63,3916.75,3506.87,266.87,421,414,11138.13,8848.4,0,771.01,275.44,901
