utc_timestamp,cet_cest_timestamp,AT_load_actual_entsoe_transparency,AT_load_forecast_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,BE_load_actual_entsoe_transparency,BE_load_forecast_entsoe_transparency,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_generation_actual,DE_wind_generation_actual,DE_wind_offshore_generation_actual,DE_wind_onshore_generation_actual,HU_load_actual_entsoe_transparency,HU_load_forecast_entsoe_transparency,HU_wind_onshore_generation_actual,LU_load_actual_entsoe_transparency,LU_load_forecast_entsoe_transparency
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,6177.6,6184,32.74,0,512,9210.8,9177.35,47907.6,47714.97,0,9373.705,1659.1,7487.155,4380.15,4236,56.66,456.02,459
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,7218.4,7528.69,62.82,35.89,172.32,9087.09,10027.32,47875.57,50178.22,4123.22,11766.61,527.88,11238.73,4308.29,4087.98,56.66,357,328
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,5650.8,6564,48.4,0,106.8,9689.14,9729.72,42967.41,41215.29,0,22508.11,391.39,22116.72,3839.59,3685.56,8.33,402,364
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,6295.6,8125.44,62.92,56.76,394.06,10895.54,10631.73,59389.65,55954.89,1654.74,25731.46,431.84,25299.62,4925.33,4502.49,8.82,502,464
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,5529.2,6636.29,28.02,0,1415.1,10060.02,9481.19,41841.99,42775.99,0,24255.71,503.32,23752.39,4059.22,3800.3,182.85,453,403
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,5338.4,7419.38,24.28,64.26,608.07,11133.28,10846.56,51814.15,52893.1,1725.36,22915.94,380.44,22535.5,4815.06,4699.38,158.39,475,460
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,5451.6,6164.89,40.14,0,43.88,10208.47,10280.91,43705.69,42918.46,0,17812.19,513.92,17298.27,4063.16,3838.83,4.06,434,400
2015-01-04T11:00:00Z,2015-01-04T12:00:00+0100,5615.6,7175.74,28.83,44.88,1909.01,10613.47,10369.02,51055.07,48666.31,4578.48,16948.62,481.87,16466.75,4844.06,4560.22,298.59,418,420
2015-01-04T23:00:00Z,2015-01-05T00:00:00+0100,6216.4,6749.77,36.26,0,1379.6,10248.42,9747.09,43606.97,43814.77,0,12366.1,470.73,11895.37,4045.56,3692.11,257.1,449,438
2015-01-05T11:00:00Z,2015-01-05T12:00:00+0100,7270.8,8549.23,55.43,54.58,1665.96,12545.45,11632.02,62748.68,60278.62,5613.68,11604.21,402.33,11201.88,5546.26,5206.53,110.37,595,536
2015-01-05T23:00:00Z,2015-01-06T00:00:00+0100,5601.2,6696.85,49.32,0,1153.17,11193.52,10880.77,48517.64,47284.31,0,1653.49,177.76,1475.73,4551.03,4456.27,164.75,511,461
2015-01-06T11:00:00Z,2015-01-06T12:00:00+0100,6864.4,7590.14,48.24,60.43,454.32,12886.29,12003.11,61868.98,62770.73,7305.03,3469.14,291.48,3177.66,5546.58,5396.98,164.34,613,587
2015-01-06T23:00:00Z,2015-01-07T00:00:00+0100,6178.4,6710.58,45.2,0,134.57,11328.19,10977.16,48391.13,47126.56,0,9287.58,488.84,8798.74,4668.33,4508.27,38.77,507,473
2015-01-07T11:00:00Z,2015-01-07T12:00:00+0100,8347.2,8677.2,52.01,55.99,659.84,12555.94,12796.32,68133,63463.9,3632.07,7399.94,500.5,6899.44,5811.61,5520.98,83.27,627,591
2015-01-07T23:00:00Z,2015-01-08T00:00:00+0100,6597.2,7000.09,43,0,130.48,11276.24,10822.55,51666.09,47978.36,0,14654.14,536.16,14117.98,4776.49,4534.26,17.27,502,485
2015-01-08T11:00:00Z,2015-01-08T12:00:00+0100,7834.4,8805.07,38.21,59.54,383.27,12856.49,12566.82,69968.04,63579.78,2025.58,17444.27,497.57,16946.7,5940.46,5648.5,14.69,590,567
2015-01-08T23:00:00Z,2015-01-09T00:00:00+0100,6658.4,7062.66,30,0,578.56,11235.7,11182.76,49711.72,48639.79,0,22728.32,522.88,22205.44,4760.34,4627.56,52.83,456,470
2015-01-09T11:00:00Z,2015-01-09T12:00:00+0100,5928.8,8415.09,33.7,104.23,557.1,12664.4,12561.86,70034.71,64056.9,1515.97,29356.73,167.5,29189.23,5702.63,5585.49,94.99,578,542
2015-01-09T23:00:00Z,2015-01-10T00:00:00+0100,5581.2,6714.3,24.64,0,1784.5,10820.3,11223.57,49285.46,49742.85,0,20375.17,456.47,19918.7,4634.76,4480.3,240.35,431,407
2015-01-10T11:00:00Z,2015-01-10T12:00:00+0100,6375.6,7146.93,21.88,114.78,1774.93,11375.76,11008.52,59415.4,57434.41,5285.27,29595.81,175.84,29419.97,5512.93,5389.38,240.03,459,437
2015-01-10T23:00:00Z,2015-01-11T00:00:00+0100,5350.4,5912.47,8,0,1863.44,10267.63,9876.21,44605.85,46947.48,0,24165.89,282.85,23883.04,4412.57,4289.83,237.35,449,431
2015-01-11T11:00:00Z,2015-01-11T12:00:00+0100,6211.6,7024.13,14,66.35,1695.47,10921.52,10571.6,55135.82,53594.28,3983.8,27884.41,337.7,27546.71,5258.94,5001.22,180.72,424,413
2015-01-11T23:00:00Z,2015-01-12T00:00:00+0100,6776,6441.06,5,0,1603.47,10221.19,9734.51,46959.09,46091.43,0,24595.74,487.37,24108.37,4153.91,4026.11,219.49,420,410
2015-01-12T11:00:00Z,2015-01-12T12:00:00+0100,7801.6,8184.9,40,93.19,1743.33,12601.35,12322.7,72179.94,68221.96,2262.58,28720.43,490.6,28229.83,5565.95,5488.53,242.65,596,559
2015-01-12T23:00:00Z,2015-01-13T00:00:00+0100,6984,6464.78,32.5,0,311.49,10772.41,10465.76,51083.03,49198.14,0,23426.45,374.52,23051.93,4547.97,4491.27,91.94,459,477
2015-01-13T11:00:00Z,2015-01-13T12:00:00+0100,8416.8,8367.83,34,142.37,152.24,12699.8,12112.28,68834.59,67209.12,10613.98,24612.59,484.13,24128.46,5530.45,5428.98,28.58,541,570
2015-01-13T23:00:00Z,2015-01-14T00:00:00+0100,7217.6,6725.01,33.34,0,317.99,10853.14,10516.69,48891.95,51831.22,0,17021.09,193.14,16827.95,4626.4,4481.27,54.89,464,461
2015-01-14T11:00:00Z,2015-01-14T12:00:00+0100,8433.6,8460.03,36.32,115.98,212.56,12780.26,12700.28,69074.35,69559.68,3557.11,20796.41,415.74,20380.67,5612.87,5468.98,56.66,584,579
2015-01-14T23:00:00Z,2015-01-15T00:00:00+0100,6458,6843.71,36,0,1564.64,11006.91,10733.76,51020.9,51545.77,0,14819.2,541.68,14277.52,4619.11,4477.53,44.91,467,483
2015-01-15T11:00:00Z,2015-01-15T12:00:00+0100,9074.4,8648.14,38,99.94,378.72,12658.56,12487.26,69918.38,70821.8,3643.91,26282.2,522.56,25759.64,5522.78,5403.46,18.5,575,558
2015-01-15T23:00:00Z,2015-01-16T00:00:00+0100,7028.8,6857.97,23.33,0,1109.72,11048.95,10688.66,50421.44,50947.24,0,22766.61,424.14,22342.47,4619.57,4484.56,210.65,463,462
2015-01-16T11:00:00Z,2015-01-16T12:00:00+0100,9198.8,8394.02,39.58,134.31,83.46,12423.54,12430.72,68008.7,69165.13,4788.18,9555.32,540.77,9014.55,5649.63,5407.49,153.1,627,607
2015-01-16T23:00:00Z,2015-01-17T00:00:00+0100,6731.6,6802.65,42.44,0,1286,11102.16,10622.39,48957.54,51159.22,0,3666.82,417.8,3249.02,4529.77,4431.3,270.54,489,456
2015-01-17T11:00:00Z,2015-01-17T12:00:00+0100,7608,7608.6,45.11,88.47,152.7,11405.29,11371.14,57553.76,59068.18,4617.38,5102.19,515.09,4587.1,5223.67,5187.38,147.77,501,478
2015-01-17T23:00:00Z,2015-01-18T00:00:00+0100,6452.4,6604.56,39.68,0,395.91,10497.28,10404.53,45281.72,47680.85,0,7330.85,474.33,6856.52,4118.49,4097.83,29.61,470,445
2015-01-18T11:00:00Z,2015-01-18T12:00:00+0100,7870,7586.06,35.32,92.24,48.69,11319.04,10842.07,52701.16,55083.78,6544.38,5071.12,199.57,4871.55,5012.34,4839.22,0.4033,464,443
2015-01-18T23:00:00Z,2015-01-19T00:00:00+0100,6214.8,6640.1,45.66,0,15.38,10505.68,10093.93,46216.52,47654.08,0,3146.64,31.2,3115.44,4048.85,4003.11,1.45,470,416
2015-01-19T11:00:00Z,2015-01-19T12:00:00+0100,7483.6,8586.42,57.87,81.8,0.96,12897.23,12497.18,69572.75,69518.49,4856.27,805.58,13.33,792.25,5799.19,5490.53,56.66,642,612
2015-01-19T23:00:00Z,2015-01-20T00:00:00+0100,6711.2,6933.71,48.44,0,50.38,11439.87,10740.34,51112.05,50425.96,0,1301.85,37.65,1264.2,4519.16,4415.27,4.61,536,494
2015-01-20T11:00:00Z,2015-01-20T12:00:00+0100,8371.2,8752.24,57.7,60.24,525.3,12889.44,12795.93,70436.31,68642.53,2085.22,388.11,34.41,353.7,5718.3,5645.96,63.41,606,616
2015-01-20T23:00:00Z,2015-01-21T00:00:00+0100,4573.6,6560.05,32.74,0,58.43,11644.59,11256.04,51582.52,50599.74,0,829.79,85.72,744.07,4560.3,4415.27,3.78,519,497
2015-01-21T11:00:00Z,2015-01-21T12:00:00+0100,7760,8654.05,32.74,120.92,24.12,12915.34,13084.16,69749.9,69142.73,4618.32,1170.2,77.86,1092.34,5710.69,5605.96,56.66,620,615
2015-01-21T23:00:00Z,2015-01-22T00:00:00+0100,5100,6696.32,46.59,0,476.81,11559.87,11284.3,52038.44,51320.73,0,3752.13,106.66,3645.47,4575.7,4415.27,6.98,523,498
2015-01-22T11:00:00Z,2015-01-22T12:00:00+0100,7923.6,8608.08,57.98,104.25,397.56,13164.94,12886.97,70637.52,69135.29,2512.29,2120.81,47.12,2073.69,5763.01,5611.98,8.69,659,601
2015-01-22T23:00:00Z,2015-01-23T00:00:00+0100,6185.6,6527.44,32.74,0,14,11770.68,11295.34,51928.19,51356.04,0,1713.3,2.66,1710.64,4510.16,4410.56,0.29,530,500
2015-01-23T11:00:00Z,2015-01-23T12:00:00+0100,8272.8,8364.39,32.74,100.75,1225.91,13037.02,12786.17,69596.75,69289.96,1406.14,797.05,97.73,699.32,5817.48,5660.49,170.06,638,609
2015-01-23T23:00:00Z,2015-01-24T00:00:00+0100,6314,6769.38,47.43,0,1721.58,11644.27,11399.05,52141.83,50261.29,0,4156.71,485.2,3671.51,4546.23,4431.3,284.74,538,492
